instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.stepType,loop_practice.stepSize,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.stepType,loop_trial.stepSize,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,Gender,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,4,3,start,0.21917765722672616,1,0,"['up', 'down']",up,0.5275787271093577,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,5,4,start,0.1884336467408868,1,0,"['up', 'down']",up,0.5355618158355355,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,6,5,start,0.16096816841978248,1,0,"['up', 'down']",up,0.4960435498505831,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,7,6,start,0.13587213846235047,1,90,"['left', 'right']",right,0.5933142891153693,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,8,7,start,0.11304081402258853,1,90,"['left', 'right']",right,0.4778171549551189,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,9,8,start,0.0913380995102597,1,0,"['up', 'down']",up,0.5769232038874179,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,10,9,start,0.07094097006961395,1,90,"['left', 'right']",right,0.5841164020821452,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,11,10,start,0.05158608121187305,1,0,"['up', 'down']",up,0.5020648329518735,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,12,11,start,0.033062999937241044,1,90,"['left', 'right']",right,0.6474922739434987,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,13,12,start,0.015203954900492811,1,90,"['left', 'right']",right,0.7557307400275022,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,14,13,start,1e-10,1,90,"['left', 'right']",right,0.8101113839074969,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,15,14,start,1e-10,0,90,"['left', 'right']",up,0.7194038878660649,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,16,15,start,0.053339487800723284,1,90,"['left', 'right']",right,0.6072524988558143,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,17,16,start,0.04155252019132871,1,90,"['left', 'right']",right,0.7803017520345747,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,18,17,start,0.03062133076123502,1,90,"['left', 'right']",right,0.6826753090135753,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,19,18,start,0.02043508962230095,1,0,"['up', 'down']",up,0.7020640820264816,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,20,19,start,0.010889999913990422,1,0,"['up', 'down']",up,0.6467333030886948,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,21,20,start,0.0018897804728702505,1,0,"['up', 'down']",up,0.8108853579033166,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,22,21,start,1e-10,0,90,"['left', 'right']",up,0.5527050830423832,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,23,22,start,0.03092090090572619,1,0,"['up', 'down']",up,0.6307417128700763,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,24,23,start,0.02337438294914279,1,90,"['left', 'right']",right,0.6831026619765908,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,25,24,start,0.016212952065637498,1,90,"['left', 'right']",right,1.0054095040541142,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,26,25,start,0.00950742456011383,0,0,"['up', 'down']",right,0.6989082349464297,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,27,26,start,0.03822576159647467,1,0,"['up', 'down']",up,0.5470492620952427,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,28,27,start,0.03191964703581435,1,0,"['up', 'down']",up,0.4998332930263132,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,29,28,start,0.025957859359049873,1,0,"['up', 'down']",up,0.4608941120095551,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,30,29,start,0.020307406795749272,1,0,"['up', 'down']",up,0.5045352207962424,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,1,0,start,0.3,1,0,"['up', 'down']",up,0.3526494801044464,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,2,1,start,0.29393288281885754,1,90,"['left', 'right']",right,0.5830796398222446,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,3,2,start,0.25430437229992936,1,0,"['up', 'down']",up,0.374185083899647,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,4,3,start,0.21917765722672616,1,90,"['left', 'right']",right,0.5243914730381221,M,20191031120811,2019_Oct_31_1208,contrast_sensitivity_task,3.2.4,60.2633891320067,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,4,3.5,0.01,0.5,0.01,1e-10,1,0,5,4,start,0.1884336467408868,,,,,,,,,,,,
